,Date,Annee,Mois,Jour,jour_sem,Code INSEE région,Consommation (MW),jour férié,Région,Température (°C),PERIODE,Prix
77,2013-01-07,2013,1,7,0,44,144899.0,0,Grand Est,3.0,2013-01,14.4019
78,2013-01-07,2013,1,7,0,52,100448.0,0,Pays de la Loire,4.0,2013-01,14.4019
79,2013-01-07,2013,1,7,0,53,81638.0,0,Bretagne,7.0,2013-01,14.4019
80,2013-01-07,2013,1,7,0,75,158781.0,0,Nouvelle-Aquitaine,4.0,2013-01,14.4019
81,2013-01-07,2013,1,7,0,76,131606.0,0,Occitanie,4.0,2013-01,14.4019
82,2013-01-07,2013,1,7,0,84,223159.0,0,Auvergne-Rhône-Alpes,3.0,2013-01,14.4019
83,2013-01-07,2013,1,7,0,93,134429.0,0,Provence-Alpes-Côte d'Azur,7.0,2013-01,14.4019
84,2013-01-08,2013,1,8,1,11,262310.0,0,Île-de-France,4.0,2013-01,14.4019
85,2013-01-08,2013,1,8,1,24,70747.0,0,Centre-Val de Loire,3.0,2013-01,14.4019
86,2013-01-08,2013,1,8,1,27,77556.0,0,Bourgogne-Franche-Comté,2.0,2013-01,14.4019
87,2013-01-08,2013,1,8,1,28,103531.0,0,Normandie,5.0,2013-01,14.4019
88,2013-01-08,2013,1,8,1,32,173629.0,0,Hauts-de-France,5.0,2013-01,14.4019
89,2013-01-08,2013,1,8,1,44,158647.0,0,Grand Est,2.0,2013-01,14.4019
90,2013-01-08,2013,1,8,1,52,104259.0,0,Pays de la Loire,4.0,2013-01,14.4019
91,2013-01-08,2013,1,8,1,53,82671.0,0,Bretagne,8.0,2013-01,14.4019
92,2013-01-08,2013,1,8,1,75,165467.0,0,Nouvelle-Aquitaine,3.0,2013-01,14.4019
93,2013-01-08,2013,1,8,1,76,141978.0,0,Occitanie,2.0,2013-01,14.4019
94,2013-01-08,2013,1,8,1,84,233792.0,0,Auvergne-Rhône-Alpes,2.0,2013-01,14.4019
95,2013-01-08,2013,1,8,1,93,140113.0,0,Provence-Alpes-Côte d'Azur,7.0,2013-01,14.4019
96,2013-01-09,2013,1,9,2,11,270288.0,0,Île-de-France,3.0,2013-01,14.4019
97,2013-01-09,2013,1,9,2,24,73681.0,0,Centre-Val de Loire,1.0,2013-01,14.4019
98,2013-01-09,2013,1,9,2,27,80567.0,0,Bourgogne-Franche-Comté,0.0,2013-01,14.4019
99,2013-01-09,2013,1,9,2,28,104335.0,0,Normandie,5.0,2013-01,14.4019
100,2013-01-09,2013,1,9,2,32,176764.0,0,Hauts-de-France,5.0,2013-01,14.4019
101,2013-01-09,2013,1,9,2,44,164271.0,0,Grand Est,1.0,2013-01,14.4019
102,2013-01-09,2013,1,9,2,52,102958.0,0,Pays de la Loire,5.0,2013-01,14.4019
103,2013-01-09,2013,1,9,2,53,81142.0,0,Bretagne,9.0,2013-01,14.4019
104,2013-01-09,2013,1,9,2,75,164950.0,0,Nouvelle-Aquitaine,4.0,2013-01,14.4019
105,2013-01-09,2013,1,9,2,76,145611.0,0,Occitanie,2.0,2013-01,14.4019
106,2013-01-09,2013,1,9,2,84,244445.0,0,Auvergne-Rhône-Alpes,0.0,2013-01,14.4019
107,2013-01-09,2013,1,9,2,93,141441.0,0,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
108,2013-01-10,2013,1,10,3,11,262005.0,0,Île-de-France,6.0,2013-01,14.4019
109,2013-01-10,2013,1,10,3,24,71065.0,0,Centre-Val de Loire,6.0,2013-01,14.4019
110,2013-01-10,2013,1,10,3,27,81192.0,0,Bourgogne-Franche-Comté,1.0,2013-01,14.4019
111,2013-01-10,2013,1,10,3,28,100444.0,0,Normandie,7.0,2013-01,14.4019
112,2013-01-10,2013,1,10,3,32,175376.0,0,Hauts-de-France,5.0,2013-01,14.4019
113,2013-01-10,2013,1,10,3,44,164710.0,0,Grand Est,2.0,2013-01,14.4019
114,2013-01-10,2013,1,10,3,52,95087.0,0,Pays de la Loire,9.0,2013-01,14.4019
115,2013-01-10,2013,1,10,3,53,79600.0,0,Bretagne,9.0,2013-01,14.4019
116,2013-01-10,2013,1,10,3,75,158593.0,0,Nouvelle-Aquitaine,7.0,2013-01,14.4019
117,2013-01-10,2013,1,10,3,76,144251.0,0,Occitanie,6.0,2013-01,14.4019
118,2013-01-10,2013,1,10,3,84,245243.0,0,Auvergne-Rhône-Alpes,2.0,2013-01,14.4019
119,2013-01-10,2013,1,10,3,93,141730.0,0,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
120,2013-01-11,2013,1,11,4,11,257819.0,0,Île-de-France,4.0,2013-01,14.4019
121,2013-01-11,2013,1,11,4,24,67766.0,0,Centre-Val de Loire,6.0,2013-01,14.4019
122,2013-01-11,2013,1,11,4,27,76750.0,0,Bourgogne-Franche-Comté,3.0,2013-01,14.4019
123,2013-01-11,2013,1,11,4,28,100455.0,0,Normandie,6.0,2013-01,14.4019
124,2013-01-11,2013,1,11,4,32,178364.0,0,Hauts-de-France,2.0,2013-01,14.4019
125,2013-01-11,2013,1,11,4,44,159731.0,0,Grand Est,2.0,2013-01,14.4019
126,2013-01-11,2013,1,11,4,52,94507.0,0,Pays de la Loire,7.0,2013-01,14.4019
127,2013-01-11,2013,1,11,4,53,81300.0,0,Bretagne,7.0,2013-01,14.4019
128,2013-01-11,2013,1,11,4,75,154198.0,0,Nouvelle-Aquitaine,6.0,2013-01,14.4019
129,2013-01-11,2013,1,11,4,76,131738.0,0,Occitanie,6.0,2013-01,14.4019
130,2013-01-11,2013,1,11,4,84,237157.0,0,Auvergne-Rhône-Alpes,4.0,2013-01,14.4019
131,2013-01-11,2013,1,11,4,93,139995.0,0,Provence-Alpes-Côte d'Azur,7.0,2013-01,14.4019
132,2013-01-12,2013,1,12,5,11,245647.0,0,Île-de-France,3.0,2013-01,14.4019
133,2013-01-12,2013,1,12,5,24,63341.0,0,Centre-Val de Loire,4.0,2013-01,14.4019
134,2013-01-12,2013,1,12,5,27,69317.0,0,Bourgogne-Franche-Comté,1.0,2013-01,14.4019
135,2013-01-12,2013,1,12,5,28,95703.0,0,Normandie,5.0,2013-01,14.4019
136,2013-01-12,2013,1,12,5,32,169195.0,0,Hauts-de-France,0.0,2013-01,14.4019
137,2013-01-12,2013,1,12,5,44,143529.0,0,Grand Est,1.0,2013-01,14.4019
138,2013-01-12,2013,1,12,5,52,82484.0,0,Pays de la Loire,6.0,2013-01,14.4019
139,2013-01-12,2013,1,12,5,53,73819.0,0,Bretagne,6.0,2013-01,14.4019
140,2013-01-12,2013,1,12,5,75,148758.0,0,Nouvelle-Aquitaine,5.0,2013-01,14.4019
141,2013-01-12,2013,1,12,5,76,131855.0,0,Occitanie,4.0,2013-01,14.4019
142,2013-01-12,2013,1,12,5,84,219889.0,0,Auvergne-Rhône-Alpes,1.0,2013-01,14.4019
143,2013-01-12,2013,1,12,5,93,138796.0,0,Provence-Alpes-Côte d'Azur,5.0,2013-01,14.4019
144,2013-01-13,2013,1,13,6,11,242392.0,0,Île-de-France,2.0,2013-01,14.4019
145,2013-01-13,2013,1,13,6,24,61986.0,0,Centre-Val de Loire,3.0,2013-01,14.4019
146,2013-01-13,2013,1,13,6,27,65095.0,0,Bourgogne-Franche-Comté,2.0,2013-01,14.4019
147,2013-01-13,2013,1,13,6,28,95900.0,0,Normandie,3.0,2013-01,14.4019
148,2013-01-13,2013,1,13,6,32,165474.0,0,Hauts-de-France,0.0,2013-01,14.4019
149,2013-01-13,2013,1,13,6,44,138555.0,0,Grand Est,0.0,2013-01,14.4019
150,2013-01-13,2013,1,13,6,52,85648.0,0,Pays de la Loire,2.0,2013-01,14.4019
151,2013-01-13,2013,1,13,6,53,75909.0,0,Bretagne,4.0,2013-01,14.4019
152,2013-01-13,2013,1,13,6,75,143198.0,0,Nouvelle-Aquitaine,5.0,2013-01,14.4019
153,2013-01-13,2013,1,13,6,76,127524.0,0,Occitanie,4.0,2013-01,14.4019
154,2013-01-13,2013,1,13,6,84,208952.0,0,Auvergne-Rhône-Alpes,2.0,2013-01,14.4019
155,2013-01-13,2013,1,13,6,93,139905.0,0,Provence-Alpes-Côte d'Azur,5.0,2013-01,14.4019
156,2013-01-14,2013,1,14,0,11,295387.0,0,Île-de-France,0.0,2013-01,14.4019
157,2013-01-14,2013,1,14,0,24,76321.0,0,Centre-Val de Loire,1.0,2013-01,14.4019
158,2013-01-14,2013,1,14,0,27,80412.0,0,Bourgogne-Franche-Comté,0.0,2013-01,14.4019
159,2013-01-14,2013,1,14,0,28,113831.0,0,Normandie,2.0,2013-01,14.4019
160,2013-01-14,2013,1,14,0,32,193577.0,0,Hauts-de-France,-1.0,2013-01,14.4019
161,2013-01-14,2013,1,14,0,44,167036.0,0,Grand Est,-1.0,2013-01,14.4019
162,2013-01-14,2013,1,14,0,52,104314.0,0,Pays de la Loire,3.0,2013-01,14.4019
163,2013-01-14,2013,1,14,0,53,85614.0,0,Bretagne,5.0,2013-01,14.4019
164,2013-01-14,2013,1,14,0,75,167860.0,0,Nouvelle-Aquitaine,3.0,2013-01,14.4019
165,2013-01-14,2013,1,14,0,76,146969.0,0,Occitanie,2.0,2013-01,14.4019
166,2013-01-14,2013,1,14,0,84,242872.0,0,Auvergne-Rhône-Alpes,1.0,2013-01,14.4019
167,2013-01-14,2013,1,14,0,93,152306.0,0,Provence-Alpes-Côte d'Azur,4.0,2013-01,14.4019
168,2013-01-15,2013,1,15,1,11,301514.0,0,Île-de-France,1.0,2013-01,14.4019
169,2013-01-15,2013,1,15,1,24,78875.0,0,Centre-Val de Loire,1.0,2013-01,14.4019
170,2013-01-15,2013,1,15,1,27,85035.0,0,Bourgogne-Franche-Comté,0.0,2013-01,14.4019
171,2013-01-15,2013,1,15,1,28,114598.0,0,Normandie,2.0,2013-01,14.4019
172,2013-01-15,2013,1,15,1,32,195374.0,0,Hauts-de-France,0.0,2013-01,14.4019
173,2013-01-15,2013,1,15,1,44,176579.0,0,Grand Est,0.0,2013-01,14.4019
174,2013-01-15,2013,1,15,1,52,104264.0,0,Pays de la Loire,4.0,2013-01,14.4019
175,2013-01-15,2013,1,15,1,53,86455.0,0,Bretagne,5.0,2013-01,14.4019
176,2013-01-15,2013,1,15,1,75,168839.0,0,Nouvelle-Aquitaine,4.0,2013-01,14.4019
177,2013-01-15,2013,1,15,1,76,151408.0,0,Occitanie,3.0,2013-01,14.4019
